Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Кленовые Аллеи,жилой комплекс,Новостройки,"улица Генерала Пилипенко, 1 к2",,,,Десёновское поселение,Москва,,Москва,Россия,,+03:00,84953244985 (отдел продаж - пн-вс 9:00-21:00),,,,http://klen-alley.ru/?utm_source=2GIS&utm_medium=static&utm_campaign=media_oct_21&utm_term=object_card&utm_content=object_card,,,,,,55.509136,37.337362,https://2gis.com/firm/70000001048949481
Героев,жилой комплекс,Новостройки,"проспект Героев, к311 ст2",,143989.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.736183999999994,37.999719,https://2gis.com/firm/70000001059175606
Героев,жилой комплекс,Новостройки,"проспект Героев, к314 ст2",,143989.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.736927,37.999832,https://2gis.com/firm/70000001059175580
Остафьево,жилой комплекс,Новостройки,"ЖК Остафьево, к13",,108824.0,,Рязановское поселение,,,Москва,Россия,,+03:00,84950236510 (единый номер - пн-вс 9:00-21:00),84951261638 (единый номер - пн-вс 9:00-21:00),,,http://samolet.ru,,,,,,55.501222999999996,37.526375,https://2gis.com/firm/70000001065159043
Новое Лыткарино,жилой комплекс,Новостройки,"6-й микрорайон, к4",,140082.0,6-й м-н,,Лыткарино,Лыткарино городской округ,Московская область,Россия,,+03:00,84959882929 (отдел продаж - пн-вс 9:00-20:00),,,,http://ukms-project.ru,,,,,,55.597142000000005,37.882540999999996,https://2gis.com/firm/70000001059742098
Героев,жилой комплекс,Новостройки,"Автозаводская, к310",,143989.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.736229,38.000958000000004,https://2gis.com/firm/70000001054324722
ПИК,Жилой комплекс Кузьминский лес,Новостройки,"микрорайон Белая Дача, 25",дом сдан,140055.0,Белая Дача м-н,,Котельники,Котельники городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/kuzminskyles?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=kuzm_les,,,,https://vk.com/pikru,,55.66328000000001,37.854949,https://2gis.com/firm/70000001041391124
Гармония парк,жилой комплекс,Новостройки,"6-й микрорайон, к4 ст1",,140082.0,6-й м-н,,Лыткарино,Лыткарино городской округ,Московская область,Россия,,+03:00,84959884420 (многоканальный - круглосуточно),,,,http://ndv.ru/novostrojki/zhk/garmoniya-park,,,,,,55.596764,37.882513,https://2gis.com/firm/70000001061421991
ПИК,Жилой комплекс Люберецкий,Новостройки,"Весенняя, 12",дом сдан,140013.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/luberecky?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=lubereckiy,,,,https://vk.com/pikru,,55.700159,37.907828,https://2gis.com/firm/70000001041397684
Остафьево,жилой комплекс,Новостройки,"ЖК Остафьево, к11/3",,108824.0,,Рязановское поселение,,,Москва,Россия,,+03:00,84950236510 (единый номер - пн-вс 9:00-21:00),84951261638 (единый номер - пн-вс 9:00-21:00),,,http://samolet.ru,,,,,,55.497198,37.518904,https://2gis.com/firm/70000001057612074
Гармония парк,жилой комплекс,Новостройки,"6-й микрорайон, к5",,140082.0,6-й м-н,,Лыткарино,Лыткарино городской округ,Московская область,Россия,,+03:00,84959884420 (многоканальный - круглосуточно),,,,http://ndv.ru/novostrojki/zhk/garmoniya-park,,,,,,55.596364,37.883028,https://2gis.com/firm/70000001061422104
А101,Жилой комплекс Скандинавия,Аренда помещений,"улица Эдварда Грига, 18 к2",,108801.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84952927918 (отдел продаж),,,,http://commercial.a101.ru/projects/skandinaviya/?utm_source=2gis&utm_medium=tgb&utm_campaign=geo&utm_content=skandinaviya,,,,,,55.554201,37.506797,https://2gis.com/firm/70000001064912264
Гармония парк,жилой комплекс,Новостройки,"6-й микрорайон, к6",,140082.0,6-й м-н,,Лыткарино,Лыткарино городской округ,Московская область,Россия,,+03:00,84959884420 (многоканальный - круглосуточно),,,,http://ndv.ru/novostrojki/zhk/garmoniya-park,,,,,,55.596076000000004,37.883309999999994,https://2gis.com/firm/70000001061422143
ПИК,Жилой комплекс Большая Академическая 85,Новостройки,"3-й Нижнелихоборский проезд, к2/1",,127238.0,,Тимирязевский район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/ba85?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=b_akadem_85,,,,https://vk.com/pikru,,55.847126,37.56344,https://2gis.com/firm/70000001058679571
Героев,жилой комплекс,Новостройки,"Автозаводская, к402",,143980.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.73678100000001,38.002918,https://2gis.com/firm/70000001060180742
Героев,жилой комплекс,Новостройки,"Автозаводская, к404",,143980.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.738248999999996,38.003143,https://2gis.com/firm/70000001063742580
Героев,жилой комплекс,Новостройки,"Автозаводская, к403",,143980.0,Железнодорожный м-н,,Балашиха,Балашиха городской округ,Московская область,Россия,,+03:00,,,,,http://kvartal-geroev.ru/?utm_source=2gis&utm_medium=cpm&utm_campaign=geokontext&utm_content=glavnaya,,,,https://vk.com/kvartalgeroev,,55.737533,38.003245,https://2gis.com/firm/70000001063742545
ПИК,Жилой комплекс Мичуринский парк,Новостройки,"Озёрная улица, к2/3",,119361.0,,Очаково-Матвеевское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/mpark?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=michurinskiy,,,,https://vk.com/pikru,,55.66928299999999,37.437871,https://2gis.com/firm/70000001058987928
Томилино,жилой комплекс,Новостройки,"посёлок Жилино-1, к10",,140072.0,,,,Люберцы городской округ,Московская область,Россия,,+03:00,89672504433 (отдел продаж - пн-вс 11:00-18:00),,,,,,,,,,55.640301,37.948287,https://2gis.com/firm/70000001034950212
Эдельвейс,жилой комплекс,Новостройки,"деревня Рогозинино, к6",,108808.0,,Первомайское поселение,Москва,,Москва,Россия,,+03:00,"84957818822 (отдел продаж - пн-чт 9:00-18:00, перерыв: 13:00-14:00; пт 9:00-17:00, перерыв: 13:00-14:00; сб 10:00-16:00, перерыв: 13:00-14:00)",,,,http://edelweiss.moscow,,,,,,55.537409999999994,37.18704,https://2gis.com/firm/70000001061497963
ПИК,Жилой комплекс Оранж Парк,Новостройки,"Сосновая, вл10/2 к6",дом сдан,140055.0,Опытное поле м-н,,Котельники,Котельники городской округ,Московская область,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/park?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=orange_park,,,,https://vk.com/pikru,,55.672475,37.857048999999996,https://2gis.com/firm/70000001041405794
Томилино,жилой комплекс,Новостройки,"посёлок Жилино-1, к3 стр",,140072.0,,,,Люберцы городской округ,Московская область,Россия,,+03:00,89672504433 (отдел продаж - пн-вс 11:00-18:00),,,,,,,,,,55.638574,37.947806,https://2gis.com/firm/70000001034950220
ПИК,Жилой комплекс Мещерский лес,Новостройки,"Домостроительная улица, 14",дом сдан,119618.0,,Солнцево район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/les?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=les,,,,https://vk.com/pikru,,55.662525,37.425344,https://2gis.com/firm/70000001041404622
ПИК,Жилой комплекс Измайловский лес,Новостройки,"ЖК Измайловский лес, к6/2",,143900.0,,,Балашиха,Балашиха городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/i-les?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=ozerny,,,,https://vk.com/pikru,,55.787379,37.85049,https://2gis.com/firm/70000001057127221
Лобня Сити,жилой комплекс,Новостройки,"Катюшки, к7",,141732.0,,,Лобня,Лобня городской округ,Московская область,Россия,,+03:00,84956459632 (отдел продаж - пн-вс 9:00-21:00),,,,http://lobnya-city.ru,,,,,,56.013799,37.44897,https://2gis.com/firm/70000001027748436
